('fast_vgs_plus', 'librispeech_train', 0, '0.5', 0.042052567899776495, 8.119395896093298e-07)
('fast_vgs_plus', 'librispeech_train', 1, '0.5', 0.0685134883413408, 8.83446173059623e-16)
('fast_vgs_plus', 'librispeech_train', 2, '0.5', 0.07084416419966905, 9.074796747843986e-17)
('fast_vgs_plus', 'librispeech_train', 3, '0.5', 0.07333971801504677, 7.303962202705854e-18)
('fast_vgs_plus', 'librispeech_train', 4, '0.5', 0.07812860311781247, 4.5613968279779404e-20)
('fast_vgs_plus', 'librispeech_train', 5, '0.5', 0.0866121710973009, 2.6001433562643945e-24)
('fast_vgs_plus', 'librispeech_train', 6, '0.5', 0.09830306124949209, 7.115557882451188e-31)
('fast_vgs_plus', 'librispeech_train', 7, '0.5', 0.10970982351629317, 4.4158894443084436e-38)
('fast_vgs_plus', 'librispeech_train', 8, '0.5', 0.11909524878017137, 1.3023225881246157e-44)
('fast_vgs_plus', 'librispeech_train', 9, '0.5', 0.08410631606862168, 5.1737949282416593e-23)
('fast_vgs_plus', 'librispeech_train', 10, '0.5', 0.07853687552424636, 2.915984321101999e-20)
('fast_vgs_plus', 'librispeech_train', 11, '0.5', 0.0787725934472339, 2.2497865789958334e-20)
('fast_vgs_plus', 'librispeech_train', 12, '0.5', 0.08031547514613467, 4.04182716376929e-21)
('wav2vec_random', 'spokencoco_val', 0, '0.5', -0.04693908728912211, 1.9161740852601197e-07)
('wav2vec_random', 'spokencoco_val', 1, '0.5', -0.04725116043199821, 1.588882815552057e-07)
('wav2vec_random', 'spokencoco_val', 2, '0.5', -0.04707810680322319, 1.7630380213202248e-07)
('wav2vec_random', 'spokencoco_val', 3, '0.5', -0.04646440736096896, 2.54207949355917e-07)
('wav2vec_random', 'spokencoco_val', 4, '0.5', -0.04542857009918018, 4.666462271429074e-07)
('wav2vec_random', 'spokencoco_val', 5, '0.5', -0.04488349660515702, 6.390895091122173e-07)
('wav2vec_random', 'spokencoco_val', 6, '0.5', -0.044772399258866356, 6.810968680083664e-07)
('wav2vec_random', 'spokencoco_val', 7, '0.5', -0.045792602490927266, 3.774984964005092e-07)
('wav2vec_random', 'spokencoco_val', 8, '0.5', -0.04571811064003723, 3.9428667411768567e-07)
('wav2vec_random', 'spokencoco_val', 9, '0.5', -0.04512714348982766, 5.555258205522357e-07)
('wav2vec_random', 'spokencoco_val', 10, '0.5', -0.043898615701227446, 1.1179449857286308e-06)
('wav2vec_random', 'spokencoco_val', 11, '0.5', -0.04279852377022945, 2.0593951369770155e-06)
('wav2vec_small', 'spokencoco_val', 0, '0.5', -0.0059651181661374755, 0.5083592461986757)
('wav2vec_small', 'spokencoco_val', 1, '0.5', -0.0040778629127988675, 0.6511686763323488)
('wav2vec_small', 'spokencoco_val', 2, '0.5', -0.007015505512018074, 0.43665086760877897)
('wav2vec_small', 'spokencoco_val', 3, '0.5', -0.00584614708404284, 0.5168534835002556)
('wav2vec_small', 'spokencoco_val', 4, '0.5', 0.000945083017224149, 0.9165447449213951)
('wav2vec_small', 'spokencoco_val', 5, '0.5', 0.005550213511510849, 0.5382968446719336)
('wav2vec_small', 'spokencoco_val', 6, '0.5', 0.01324363063236284, 0.14197770198805434)
('wav2vec_small', 'spokencoco_val', 7, '0.5', 0.007665862628209102, 0.395340036952073)
('wav2vec_small', 'spokencoco_val', 8, '0.5', -0.004610901039291447, 0.609182142046762)
('wav2vec_small', 'spokencoco_val', 9, '0.5', -0.005502101420200328, 0.5418247600524373)
('wav2vec_small', 'spokencoco_val', 10, '0.5', 0.001457023827150986, 0.8716609094019537)
('wav2vec_small', 'spokencoco_val', 11, '0.5', -0.003691030895241392, 0.682357418475377)
('fast_vgs', 'librispeech_train', 0, '0.5', 0.03960602872076802, 3.396137998724561e-06)
('fast_vgs', 'librispeech_train', 1, '0.5', 0.07365222089759366, 5.295428102302051e-18)
('fast_vgs', 'librispeech_train', 2, '0.5', 0.07374756842391215, 4.799254317162088e-18)
('fast_vgs', 'librispeech_train', 3, '0.5', 0.08637107878960787, 3.4802381376676615e-24)
('fast_vgs', 'librispeech_train', 4, '0.5', 0.09420629904577643, 1.7641360043750655e-28)
('fast_vgs', 'librispeech_train', 5, '0.5', 0.09838173740953136, 6.3859547371635325e-31)
('fast_vgs', 'librispeech_train', 6, '0.5', 0.10280917731210276, 1.2599195023089182e-33)
('fast_vgs', 'librispeech_train', 7, '0.5', 0.09443077815475401, 1.312151830210814e-28)
('fast_vgs', 'librispeech_train', 8, '0.5', 0.1308502756035551, 1.4613255553116608e-53)
('fast_vgs', 'librispeech_train', 9, '0.5', 0.12989126847302546, 8.45678039602543e-53)
('fast_vgs', 'librispeech_train', 10, '0.5', 0.13146880813126727, 4.676585519221507e-54)
('fast_vgs', 'librispeech_train', 11, '0.5', 0.12953331681483657, 1.623004039808719e-52)
('fast_vgs', 'librispeech_train', 12, '0.5', 0.1277921953327135, 3.7670440052960227e-51)
('wav2vec_random', 'librispeech_train', 0, '0.5', 0.04438191944962063, 1.930016311960823e-07)
('wav2vec_random', 'librispeech_train', 1, '0.5', 0.04480912563353985, 1.4712966612551295e-07)
('wav2vec_random', 'librispeech_train', 2, '0.5', 0.044713584894241515, 1.5636912448045574e-07)
('wav2vec_random', 'librispeech_train', 3, '0.5', 0.045217184447681164, 1.1327371839473046e-07)
('wav2vec_random', 'librispeech_train', 4, '0.5', 0.045537271996336254, 9.212191202513453e-08)
('wav2vec_random', 'librispeech_train', 5, '0.5', 0.046128833558139175, 6.264566119200434e-08)
('wav2vec_random', 'librispeech_train', 6, '0.5', 0.0465409213534677, 4.775527912519812e-08)
('wav2vec_random', 'librispeech_train', 7, '0.5', 0.0468775955183755, 3.8193219526495395e-08)
('wav2vec_random', 'librispeech_train', 8, '0.5', 0.04661871159737822, 4.535861209680771e-08)
('wav2vec_random', 'librispeech_train', 9, '0.5', 0.046229874803712906, 5.862486832901645e-08)
('wav2vec_random', 'librispeech_train', 10, '0.5', 0.047260442803013704, 2.9569128393022473e-08)
('wav2vec_random', 'librispeech_train', 11, '0.5', 0.04840030491173174, 1.3640816733546744e-08)
('hubert_base_ls960', 'librispeech_train', 0, '0.5', 0.05886868765495247, 4.921344870372572e-12)
('hubert_base_ls960', 'librispeech_train', 1, '0.5', 0.0701020350188947, 1.8882768535764442e-16)
('hubert_base_ls960', 'librispeech_train', 2, '0.5', 0.07435245024515444, 2.5635596317370172e-18)
('hubert_base_ls960', 'librispeech_train', 3, '0.5', 0.07969187754794585, 8.121628668471457e-21)
('hubert_base_ls960', 'librispeech_train', 4, '0.5', 0.07751994741035031, 8.84951915170281e-20)
('hubert_base_ls960', 'librispeech_train', 5, '0.5', 0.08433211627057677, 3.965796023310501e-23)
('hubert_base_ls960', 'librispeech_train', 6, '0.5', 0.09320657065164312, 6.535878514976949e-28)
('hubert_base_ls960', 'librispeech_train', 7, '0.5', 0.11088360373466069, 7.21199400073015e-39)
('hubert_base_ls960', 'librispeech_train', 8, '0.5', 0.12380400810111045, 4.2944915091014916e-48)
('hubert_base_ls960', 'librispeech_train', 9, '0.5', 0.12043273088148736, 1.3795672345386547e-45)
('hubert_base_ls960', 'librispeech_train', 10, '0.5', 0.10156647138459976, 7.441428180707476e-33)
('hubert_base_ls960', 'librispeech_train', 11, '0.5', 0.09948936550192927, 1.3796592251447693e-31)
('fast_vgs', 'spokencoco_val', 0, '0.5', -0.013229220810635444, 0.14241196050316493)
('fast_vgs', 'spokencoco_val', 1, '0.5', -0.022295376210178776, 0.013423528196830271)
('fast_vgs', 'spokencoco_val', 2, '0.5', -0.009104682291537037, 0.3127290565035519)
('fast_vgs', 'spokencoco_val', 3, '0.5', -0.010928884856787207, 0.22559360205881857)
('fast_vgs', 'spokencoco_val', 4, '0.5', 0.000320368173722641, 0.9716641731460105)
('fast_vgs', 'spokencoco_val', 5, '0.5', 0.02558635802753088, 0.004548558896295607)
('fast_vgs', 'spokencoco_val', 6, '0.5', 0.06024139713327048, 2.3029406339407886e-11)
('fast_vgs', 'spokencoco_val', 7, '0.5', 0.0922130012546054, 1.2327955388612974e-24)
('fast_vgs', 'spokencoco_val', 8, '0.5', 0.13851168621027854, 9.962831508889471e-54)
('fast_vgs', 'spokencoco_val', 9, '0.5', 0.16771956497286158, 2.8784226460942476e-78)
('fast_vgs', 'spokencoco_val', 10, '0.5', 0.16932695886329982, 9.256661940320711e-80)
('fast_vgs', 'spokencoco_val', 11, '0.5', 0.16358045804748153, 1.7141297991705524e-74)
('fast_vgs', 'spokencoco_val', 12, '0.5', 0.17445465834663615, 1.27129424499715e-84)
('fast_vgs_plus', 'spokencoco_val', 0, '0.5', -0.015320244614701214, 0.08936667504636485)
('fast_vgs_plus', 'spokencoco_val', 1, '0.5', -0.01468959249179772, 0.10335283033097546)
('fast_vgs_plus', 'spokencoco_val', 2, '0.5', -0.008279245717868615, 0.35862627318842805)
('fast_vgs_plus', 'spokencoco_val', 3, '0.5', -0.005828139104038963, 0.5181455846455215)
('fast_vgs_plus', 'spokencoco_val', 4, '0.5', -0.007123693059290954, 0.4296112753511037)
('fast_vgs_plus', 'spokencoco_val', 5, '0.5', 0.0019564531721270022, 0.8282675572713655)
('fast_vgs_plus', 'spokencoco_val', 6, '0.5', 0.03667459068776341, 4.747897542196082e-05)
('fast_vgs_plus', 'spokencoco_val', 7, '0.5', 0.08422099464897329, 8.382538139159447e-21)
('fast_vgs_plus', 'spokencoco_val', 8, '0.5', 0.15186933894779714, 2.4006139640619674e-64)
('fast_vgs_plus', 'spokencoco_val', 9, '0.5', 0.005056834921005792, 0.5750119528289617)
('fast_vgs_plus', 'spokencoco_val', 10, '0.5', -0.01975438156340341, 0.028487874222321744)
('fast_vgs_plus', 'spokencoco_val', 11, '0.5', -0.016656181610297895, 0.06476165677869458)
('fast_vgs_plus', 'spokencoco_val', 12, '0.5', -0.015424366722677389, 0.08721139213982709)
('wav2vec_small', 'librispeech_train', 0, '0.5', 0.06039781573450306, 1.364741776163477e-12)
('wav2vec_small', 'librispeech_train', 1, '0.5', 0.06395544296706464, 6.100903757446573e-14)
('wav2vec_small', 'librispeech_train', 2, '0.5', 0.07280051937253171, 1.2680909144648808e-17)
('wav2vec_small', 'librispeech_train', 3, '0.5', 0.07470123826794364, 1.781617773092696e-18)
('wav2vec_small', 'librispeech_train', 4, '0.5', 0.08371650678988624, 8.174118839425201e-23)
('wav2vec_small', 'librispeech_train', 5, '0.5', 0.09537276850085814, 3.760186060646205e-29)
('wav2vec_small', 'librispeech_train', 6, '0.5', 0.11059713040900422, 1.1243577850956195e-38)
('wav2vec_small', 'librispeech_train', 7, '0.5', 0.10336059025406634, 5.689415783481217e-34)
('wav2vec_small', 'librispeech_train', 8, '0.5', 0.07814139856260256, 4.4980390873318813e-20)
('wav2vec_small', 'librispeech_train', 9, '0.5', 0.07116079587778652, 6.623099449712311e-17)
('wav2vec_small', 'librispeech_train', 10, '0.5', 0.06508766351791256, 2.188189981988468e-14)
('wav2vec_small', 'librispeech_train', 11, '0.5', 0.06671207223098286, 4.873770805113673e-15)
('hubert_base_ls960', 'spokencoco_val', 0, '0.5', 0.0003044380111743893, 0.9730726103398436)
('hubert_base_ls960', 'spokencoco_val', 1, '0.5', -0.004926936866480087, 0.5848716620116675)
('hubert_base_ls960', 'spokencoco_val', 2, '0.5', -0.003561239652852632, 0.6929480843330424)
('hubert_base_ls960', 'spokencoco_val', 3, '0.5', -0.006855205249942547, 0.44720254818873)
('hubert_base_ls960', 'spokencoco_val', 4, '0.5', -0.001718014228591133, 0.8489276983866914)
('hubert_base_ls960', 'spokencoco_val', 5, '0.5', 0.013291548466092876, 0.1405409479812894)
('hubert_base_ls960', 'spokencoco_val', 6, '0.5', 0.02834437869372784, 0.001670291671777726)
('hubert_base_ls960', 'spokencoco_val', 7, '0.5', 0.04087745104973199, 5.781519183229927e-06)
('hubert_base_ls960', 'spokencoco_val', 8, '0.5', 0.05467762817178653, 1.3033913310365842e-09)
('hubert_base_ls960', 'spokencoco_val', 9, '0.5', 0.04216101820815547, 2.91490139884188e-06)
('hubert_base_ls960', 'spokencoco_val', 10, '0.5', 0.0305636659463023, 0.0007000218856516309)
('hubert_base_ls960', 'spokencoco_val', 11, '0.5', 0.01526301578020779, 0.09056943132687957)
('fast_vgs_plus', 'librispeech_train', 0, '0.5', 0.04342379475698741, 3.51586469491105e-07)
('fast_vgs_plus', 'librispeech_train', 1, '0.5', 0.06777094154134815, 1.7957636554971736e-15)
('fast_vgs_plus', 'librispeech_train', 2, '0.5', 0.06843581056098158, 9.518341962561777e-16)
('fast_vgs_plus', 'librispeech_train', 3, '0.5', 0.07203644584181762, 2.7522184225753155e-17)
('fast_vgs_plus', 'librispeech_train', 4, '0.5', 0.08196223096323968, 6.237343558464779e-22)
('fast_vgs_plus', 'librispeech_train', 5, '0.5', 0.09222009997173042, 2.347344334145582e-27)
('fast_vgs_plus', 'librispeech_train', 6, '0.5', 0.100855515135171, 2.0355340484202823e-32)
('fast_vgs_plus', 'librispeech_train', 7, '0.5', 0.11334252783338447, 1.5203454435116454e-40)
